Input: 小红走进烘焙店，买了一块现烤的[MASK][MASK]。
牛糕, Probability: 0.0174
野竹, Probability: 0.0000
榕杨, Probability: 0.0000
玉儿, Probability: 0.0000
嫩兰, Probability: 0.0000
竹杏, Probability: 0.0000
香青, Probability: 0.0000
柏杉, Probability: 0.0000
春梅, Probability: 0.0000
槐果, Probability: 0.0000
桂林, Probability: 0.0000
藤椿, Probability: 0.0000
鲜棵, Probability: 0.0000
萝瑰, Probability: 0.0000
樱薇, Probability: 0.0000
苹年, Probability: 0.0000
奇桃, Probability: 0.0000
桃棠, Probability: 0.0000
白榆, Probability: 0.0000
枯桑, Probability: 0.0000
好樟, Probability: 0.0000
果生, Probability: 0.0000
高楠, Probability: 0.0000
玫葱, Probability: 0.0000
枫卉, Probability: 0.0000
兰枝, Probability: 0.0000
金莲, Probability: 0.0000
桑栽, Probability: 0.0000
荷芽, Probability: 0.0000
银瓜, Probability: 0.0000
山葵, Probability: 0.0000
梧萄, Probability: 0.0000
榆朵, Probability: 0.0000

Input: 停电了，房东送来了一根燃烧的[MASK][MASK]。
烟棍, Probability: 0.0206
电烛, Probability: 0.0115
火烟, Probability: 0.0065
煤棒, Probability: 0.0046
木管, Probability: 0.0035
柴头, Probability: 0.0017
水柴, Probability: 0.0007
香线, Probability: 0.0005
纸子, Probability: 0.0004
毛巾, Probability: 0.0003
烛枝, Probability: 0.0002
铁草, Probability: 0.0002
燃条, Probability: 0.0001
冰火, Probability: 0.0001
汽丝, Probability: 0.0001
棉炭, Probability: 0.0001
钢枪, Probability: 0.0001
烤板, Probability: 0.0001
蜡具, Probability: 0.0001
插纸, Probability: 0.0001
油桶, Probability: 0.0001
大鞭, Probability: 0.0001
鸡炉, Probability: 0.0000
炉毯, Probability: 0.0000
灯毛, Probability: 0.0000
手油, Probability: 0.0000
红盆, Probability: 0.0000
石杆, Probability: 0.0000
热绳, Probability: 0.0000
小柱, Probability: 0.0000
地发, Probability: 0.0000
篝巴, Probability: 0.0000
树杖, Probability: 0.0000
气葱, Probability: 0.0000
牛指, Probability: 0.0000
食刀, Probability: 0.0000
烧球, Probability: 0.0000
绳筒, Probability: 0.0000
马带, Probability: 0.0000
管灯, Probability: 0.0000
砖铁, Probability: 0.0000
家锅, Probability: 0.0000
塑物, Probability: 0.0000
野针, Probability: 0.0000
棍包, Probability: 0.0000
竹花, Probability: 0.0000
铜根, Probability: 0.0000
酒布, Probability: 0.0000
啤匙, Probability: 0.0000
墙水, Probability: 0.0000

Input: 小明走进咖啡店，买了[MASK][MASK]。
咖啡, Probability: 0.3058
杯杯, Probability: 0.0094
点茶, Probability: 0.0045
一果, Probability: 0.0009
啤水, Probability: 0.0003
豆料, Probability: 0.0002
早奶, Probability: 0.0001
果花, Probability: 0.0001
零点, Probability: 0.0001
饮来, Probability: 0.0001
冰包, Probability: 0.0001
些酒, Probability: 0.0000
奶子, Probability: 0.0000
瓶糖, Probability: 0.0000
东食, Probability: 0.0000
水咖, Probability: 0.0000
牛西, Probability: 0.0000
两干, Probability: 0.0000
红去, Probability: 0.0000
茶豆, Probability: 0.0000
几喝, Probability: 0.0000
小糕, Probability: 0.0000
回条, Probability: 0.0000
个饼, Probability: 0.0000
起品, Probability: 0.0000
糖物, Probability: 0.0000
好饮, Probability: 0.0000
洋票, Probability: 0.0000
甜吃, Probability: 0.0000
啡片, Probability: 0.0000
了面, Probability: 0.0000
热餐, Probability: 0.0000
香个, Probability: 0.0000
喝蕉, Probability: 0.0000
口汁, Probability: 0.0000
午菜, Probability: 0.0000
下冰, Probability: 0.0000
食笔, Probability: 0.0000
花壶, Probability: 0.0000
麦莓, Probability: 0.0000
面卷, Probability: 0.0000
干克, Probability: 0.0000
份叶, Probability: 0.0000
包下, Probability: 0.0000
块纸, Probability: 0.0000
上块, Probability: 0.0000
冷瓶, Probability: 0.0000
纸的, Probability: 0.0000
柠烟, Probability: 0.0000
橙袋, Probability: 0.0000

